"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"QB1","1","2","1.0","0.2","-"
"2",1,"Lamar Jackson",BAL,"QB2","1","7","2.6","1.1","-"
"3",1,"Drake Maye",NE,"QB3","2","7","3.5","1.1","-"
"4",1,"Joe Burrow",CIN,"QB4","2","19","5.1","2.8","-"
"5",2,"Jayden Daniels",WAS,"QB5","3","18","6.4","3.6","-"
"6",2,"Jalen Hurts",PHI,"QB6","2","17","6.9","2.8","-"
"7",2,"Ja'Marr Chase",CIN,"WR1","6","12","7.9","2.5","-"
"8",2,"Puka Nacua",LAR,"WR2","6","20","10.7","2.5","-"
"9",2,"Justin Herbert",LAC,"QB7","3","32","11.0","5.2","-"
"10",2,"Jahmyr Gibbs",DET,"RB1","2","37","11.2","3.9","-"
"11",2,"Caleb Williams",CHI,"QB8","2","26","11.2","5.5","-"
"12",2,"Bijan Robinson",ATL,"RB2","3","25","11.3","2.6","-"
"13",3,"Jaxon Smith-Njigba",SEA,"WR3","6","23","12.5","2.6","-"
"14",3,"Trevor Lawrence",JAC,"QB9","6","26","14.2","5.0","-"
"15",3,"Amon-Ra St. Brown",DET,"WR4","11","41","15.1","4.1","-"
"16",3,"Dak Prescott",DAL,"QB10","7","32","15.5","5.5","-"
"17",3,"Christian McCaffrey",SF,"RB3","10","46","19.0","8.2","-"
"18",3,"CeeDee Lamb",DAL,"WR5","14","46","20.7","4.4","-"
"19",3,"Justin Jefferson",MIN,"WR6","12","47","21.2","5.2","-"
"20",3,"Brock Purdy",SF,"QB11","8","50","21.4","6.6","-"
"21",3,"Jaxson Dart",NYG,"QB12","5","39","21.4","7.3","-"
"22",4,"Jonathan Taylor",IND,"RB4","13","48","24.9","8.1","-"
"23",4,"Drake London",ATL,"WR7","20","49","25.8","6.5","-"
"24",4,"Patrick Mahomes II",KC,"QB13","15","38","26.5","5.8","-"
"25",4,"Bo Nix",DEN,"QB14","14","50","26.6","7.4","-"
"26",4,"A.J. Brown",NE,"WR8","20","53","29.2","7.6","-"
"",4
"27",4,"Matthew Stafford",LAR,"QB15","8","55","31.0","9.8","-"
"28",4,"Nico Collins",HOU,"WR9","24","53","31.2","6.9","-"
"29",4,"Ashton Jeanty",LV,"RB5","15","58","31.5","8.4","-"
"30",5,"Chase Brown",CIN,"RB6","21","55","34.3","8.3","-"
"31",5,"James Cook III",BUF,"RB7","15","61","34.3","10.0","-"
"32",5,"Jared Goff",DET,"QB16","8","55","34.6","9.5","-"
"33",5,"Rashee Rice",KC,"WR10","21","68","34.7","10.0","-"
"34",5,"Trey McBride",ARI,"TE1","25","54","35.1","6.1","-"
"35",5,"George Pickens",DAL,"WR11","21","57","35.3","6.8","-"
"36",5,"Brock Bowers",LV,"TE2","23","51","36.8","4.7","-"
"37",5,"De'Von Achane",MIA,"RB8","22","68","37.0","8.7","-"
"38",5,"Chris Olave",NO,"WR12","23","64","37.3","8.5","-"
"39",5,"Kyler Murray",MIN,"QB17","13","64","38.1","11.5","-"
"40",5,"DeVonta Smith",PHI,"WR13","24","62","40.0","7.9","-"
"41",5,"Saquon Barkley",PHI,"RB9","22","61","40.8","8.2","-"
"42",5,"Omarion Hampton",LAC,"RB10","23","67","41.0","8.9","-"
"43",5,"Baker Mayfield",TB,"QB18","18","60","44.0","10.8","-"
"44",5,"Jordan Love",GB,"QB19","19","64","46.3","10.0","-"
"45",5,"Kenneth Walker III",KC,"RB11","27","74","46.3","9.3","-"
"46",5,"Tyler Shough",NO,"QB20","18","66","46.4","10.9","-"
"47",5,"Zay Flowers",BAL,"WR14","24","69","47.4","11.1","-"
"48",6,"Garrett Wilson",NYJ,"WR15","28","75","47.7","8.7","-"
"49",6,"Tetairoa McMillan",CAR,"WR16","28","71","49.8","10.1","-"
